h3,tipo,agricultura_med_grandes_patrones,ganaderia_med_grandes_patrones,ganaderia_peq_patrones,ganaderia_sin_asal,agricultura_peq_patrones,agricultura_sin_asal,forestal_peq_patrones,mixta_sin_asal,mixta_med_grandes_patrones,mixta_peq_patrones,forestal_med_grandes_patrones,total,n_sin_asal,n_peq_patr,n_myg_patr,n_agric,n_ganaderia,prop_sin_asal,prop_peq_patr,prop_myg_patr,prop_agric,prop_ganaderia
87a941041ffffff,Estab. OEDE,1,3,15,0,0,0,0,0,0,0,0,19,0,15,4,1,18,0,0.7894736842105263,0.21052631578947367,0.05263157894736842,0.9473684210526315
87a941043ffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a941045ffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a941049ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94104cffffff,Estab. OEDE,0,9,28,0,4,0,0,0,0,0,0,41,0,32,9,4,37,0,0.7804878048780488,0.21951219512195122,0.0975609756097561,0.9024390243902439
87a94104dffffff,Estab. OEDE,0,3,3,0,0,0,0,0,0,0,0,6,0,3,3,0,6,0,0.5,0.5,0,1
87a94104dffffff,NAF,0,0,0,1,0,2,0,0,0,0,0,3,3,0,0,2,1,1,0,0,0.6666666666666666,0.3333333333333333
87a94104effffff,Estab. OEDE,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,1,0,0,1
87a941060ffffff,Estab. OEDE,0,0,1,0,3,0,0,0,0,0,0,4,0,4,0,3,1,0,1,0,0.75,0.25
87a941068ffffff,Estab. OEDE,0,1,3,0,0,0,1,0,0,0,0,5,0,4,1,0,4,0,0.8,0.2,0,0.8
87a941068ffffff,NAF,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
87a941069ffffff,Estab. OEDE,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1
87a94106affffff,Estab. OEDE,0,3,31,0,2,0,0,0,0,0,0,36,0,33,3,2,34,0,0.9166666666666666,0.08333333333333333,0.05555555555555555,0.9444444444444444
87a94106bffffff,Estab. OEDE,0,0,8,0,0,0,0,0,0,0,0,8,0,8,0,0,8,0,1,0,0,1
87a94106cffffff,Estab. OEDE,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,1,1,0,1,0,0.5,0.5
87a94106dffffff,Estab. OEDE,0,1,2,0,0,0,0,0,0,0,0,3,0,2,1,0,3,0,0.6666666666666666,0.3333333333333333,0,1
87a94106effffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a9412b6ffffff,Estab. OEDE,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1
87a941315ffffff,Estab. OEDE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
87a941330ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94138affffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a941392ffffff,NAF,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
87a9413b4ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a9413b5ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a941766ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94176cffffff,Estab. OEDE,0,0,3,0,3,0,0,0,0,0,0,6,0,6,0,3,3,0,1,0,0.5,0.5
87a94176cffffff,NAF,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
87a941846ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94184effffff,Estab. OEDE,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
87a941a22ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a941a31ffffff,NAF,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
87a941a60ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a941a6cffffff,Estab. OEDE,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,1,0,0,1
87a941a82ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a941a8effffff,NAF,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
87a941a9cffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a941a9effffff,Estab. OEDE,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1
87a941adaffffff,NAF,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1
87a941af0ffffff,NAF,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
87a941b04ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a941b0dffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a941ba8ffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944048ffffff,NAF,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,1,0,0,1,0
87a94404affffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94404cffffff,NAF,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,1,0,0,1,0
87a944068ffffff,Estab. OEDE,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,1,1,0,1,0,0.5,0.5
87a944068ffffff,NAF,0,1,0,0,0,1,0,1,1,0,0,4,2,0,2,1,1,0.5,0,0.5,0.25,0.25
87a94406affffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a94406bffffff,Estab. OEDE,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,1,0,0,1
87a94406bffffff,NAF,0,0,0,1,0,5,0,0,0,0,0,6,6,0,0,5,1,1,0,0,0.8333333333333334,0.16666666666666666
87a94406dffffff,NAF,0,0,0,1,0,1,0,1,0,0,0,3,3,0,0,1,1,1,0,0,0.3333333333333333,0.3333333333333333
87a94420bffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a94420effffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944215ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94421bffffff,NAF,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0
87a944223ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94422dffffff,NAF,0,0,0,1,0,3,0,3,0,0,0,7,7,0,0,3,1,1,0,0,0.42857142857142855,0.14285714285714285
87a944245ffffff,Estab. OEDE,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,1,1,0,1,0,0.5,0.5
87a944264ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944285ffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944285ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a944294ffffff,NAF,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1,0,1
87a9442c4ffffff,Estab. OEDE,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,2,0,0,0.5,0.5,1,0
87a9442c4ffffff,NAF,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,1
87a9442e1ffffff,NAF,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1
87a9442e3ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a9442e4ffffff,NAF,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
87a9442f1ffffff,NAF,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a9442f6ffffff,NAF,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
87a944345ffffff,NAF,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
87a944346ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a944348ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944349ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94434affffff,NAF,0,4,0,3,0,0,0,0,0,0,0,7,3,0,4,0,7,0.42857142857142855,0,0.5714285714285714,0,1
87a94434bffffff,Estab. OEDE,0,0,2,0,2,0,0,0,0,0,0,4,0,4,0,2,2,0,1,0,0.5,0.5
87a94434bffffff,NAF,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
87a94434dffffff,NAF,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a94434effffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944351ffffff,NAF,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0.5
87a944355ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94435cffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
