h3,total,prop_sin_asal,prop_peq_patr,prop_myg_patr,prop_agric,prop_ganaderia,hc_clst_4,hc_clst_5,hc_clst_6,hc_clst_7
87a941041ffffff,19,0,0.7894736842105263,0.21052631578947367,0.05263157894736842,0.9473684210526316,1,1,1,1
87a941043ffffff,1,0,1,0,0,1,2,2,2,2
87a941045ffffff,1,0,1,0,0,1,2,2,2,2
87a941049ffffff,1,1,0,0,0,1,3,3,3,3
87a94104cffffff,41,0,0.7804878048780488,0.2195121951219512,0.0975609756097561,0.902439024390244,1,1,1,1
87a94104dffffff,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.7777777777777778,1,1,1,1
87a94104effffff,5,0,1,0,0,1,2,2,2,2
87a941060ffffff,4,0,1,0,0.75,0.25,1,1,1,1
87a941068ffffff,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,1,1,1,1
87a941069ffffff,2,0,1,0,0,1,2,2,2,2
87a94106affffff,36,0,0.9166666666666666,0.08333333333333333,0.05555555555555555,0.9444444444444444,1,1,1,1
87a94106bffffff,8,0,1,0,0,1,2,2,2,2
87a94106cffffff,2,0,1,0,0.5,0.5,1,1,1,1
87a94106dffffff,3,0,0.6666666666666666,0.3333333333333333,0,1,1,1,1,1
87a94106effffff,1,0,1,0,0,1,2,2,2,2
87a9412b6ffffff,2,0,1,0,0,1,2,2,2,2
87a941315ffffff,1,0,0,1,0,1,1,4,4,4
87a941330ffffff,1,1,0,0,0,1,3,3,3,3
87a94138affffff,1,1,0,0,0,1,3,3,3,3
87a941392ffffff,1,1,0,0,0,0,4,5,5,5
87a9413b4ffffff,1,1,0,0,0,1,3,3,3,3
87a9413b5ffffff,1,1,0,0,0,1,3,3,3,3
87a941766ffffff,1,1,0,0,0,1,3,3,3,3
87a94176cffffff,7,0.14285714285714285,0.8571428571428571,0,0.42857142857142855,0.42857142857142855,1,1,1,1
87a941846ffffff,1,1,0,0,0,1,3,3,3,3
87a94184effffff,1,0,1,0,1,0,1,1,6,6
87a941a22ffffff,1,1,0,0,0,1,3,3,3,3
87a941a31ffffff,1,1,0,0,1,0,4,5,5,7
87a941a60ffffff,1,1,0,0,0,1,3,3,3,3
87a941a6cffffff,3,0,1,0,0,1,2,2,2,2
87a941a82ffffff,1,1,0,0,0,1,3,3,3,3
87a941a8effffff,1,1,0,0,1,0,4,5,5,7
87a941a9cffffff,1,0,1,0,0,1,2,2,2,2
87a941a9effffff,2,0,1,0,0,1,2,2,2,2
87a941adaffffff,2,0,1,0,0,1,2,2,2,2
87a941af0ffffff,1,0,0,1,0,1,1,4,4,4
87a941b04ffffff,1,1,0,0,0,1,3,3,3,3
87a941b0dffffff,1,0,1,0,0,1,2,2,2,2
87a941ba8ffffff,1,0,1,0,0,1,2,2,2,2
87a944048ffffff,2,1,0,0,1,0,4,5,5,7
87a94404affffff,1,1,0,0,0,1,3,3,3,3
87a94404cffffff,2,1,0,0,1,0,4,5,5,7
87a944068ffffff,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,1
87a94406affffff,1,0,1,0,0,1,2,2,2,2
87a94406bffffff,9,0.6666666666666666,0.3333333333333333,0,0.5555555555555556,0.4444444444444444,4,5,5,7
87a94406dffffff,3,1,0,0,0.3333333333333333,0.3333333333333333,4,5,5,5
87a94420bffffff,2,1,0,0,0,1,3,3,3,3
87a94420effffff,1,1,0,0,0,1,3,3,3,3
87a944215ffffff,1,1,0,0,0,1,3,3,3,3
87a94421bffffff,2,1,0,0,0,0,4,5,5,5
87a944223ffffff,1,1,0,0,0,1,3,3,3,3
87a94422dffffff,7,1,0,0,0.42857142857142855,0.14285714285714285,4,5,5,7
87a944245ffffff,2,0,1,0,0.5,0.5,1,1,1,1
87a944264ffffff,1,1,0,0,0,1,3,3,3,3
87a944285ffffff,3,0.6666666666666666,0.3333333333333333,0,0,1,4,5,5,5
87a944294ffffff,2,0,0,1,0,1,1,4,4,4
87a9442c4ffffff,5,0.6,0.2,0.2,0.4,0.6,1,1,1,1
87a9442e1ffffff,2,0,1,0,0,1,2,2,2,2
87a9442e3ffffff,2,1,0,0,0,1,3,3,3,3
87a9442e4ffffff,1,1,0,0,1,0,4,5,5,7
87a9442f1ffffff,1,0,1,0,0,1,2,2,2,2
87a9442f6ffffff,1,1,0,0,0,0,4,5,5,5
87a944345ffffff,1,1,0,0,0,0,4,5,5,5
87a944346ffffff,2,1,0,0,0,1,3,3,3,3
87a944348ffffff,1,1,0,0,0,1,3,3,3,3
87a944349ffffff,1,1,0,0,0,1,3,3,3,3
87a94434affffff,7,0.42857142857142855,0,0.5714285714285714,0,1,1,1,1,1
87a94434bffffff,5,0,0.8,0.2,0.4,0.6,1,1,1,1
87a94434dffffff,1,0,1,0,0,1,2,2,2,2
87a94434effffff,1,1,0,0,0,1,3,3,3,3
87a944351ffffff,2,1,0,0,0,0.5,4,5,5,5
87a944355ffffff,1,1,0,0,0,1,3,3,3,3
87a94435cffffff,1,1,0,0,0,1,3,3,3,3
87a94435dffffff,5,0.6,0,0.4,0,0.6,1,1,1,1
87a94435effffff,4,0.25,0.75,0,0,0.75,1,1,1,1
87a944360ffffff,5,1,0,0,0,0.6,4,5,5,5
87a944362ffffff,2,1,0,0,0.5,0.5,4,5,5,5
87a944363ffffff,1,1,0,0,0,1,3,3,3,3
87a944366ffffff,1,1,0,0,0,0,4,5,5,5
87a944389ffffff,1,1,0,0,0,0,4,5,5,5
87a9443b0ffffff,1,1,0,0,0,0,4,5,5,5
87a944608ffffff,4,0,0,1,0.5,0.25,1,4,4,4
87a94460effffff,6,1,0,0,0.16666666666666666,0.8333333333333334,4,5,5,5
87a9446a4ffffff,6,1,0,0,0,0.6666666666666666,4,5,5,5
87a9446b3ffffff,4,1,0,0,0.5,0.25,4,5,5,7
87a944710ffffff,1,1,0,0,1,0,4,5,5,7
